-4,-4,0,0
-2.8,-3,-1.7,-0.1
-2.12547,-2.51101,-1.38273,-0.2
-1.48754,-2.21247,-1.38705,-0.3
-0.978579,-1.97269,-1.29147,-0.4
-0.540617,-1.79911,-1.25777,-0.5
-0.179283,-1.66528,-1.19794,-0.6
0.129338,-1.56519,-1.15727,-0.7
0.389559,-1.48832,-1.11356,-0.8
0.612038,-1.42879,-1.07684,-0.9
0.801992,-1.38158,-1.04328,-1
0.964828,-1.34316,-1.01437,-1.1
1.10439,-1.31102,-0.989722,-1.2
1.2239,-1.28352,-0.969423,-1.3
1.32591,-1.25959,-0.953351,-1.4
1.41256,-1.23865,-0.941353,-1.5
1.4856,-1.22038,-0.933224,-1.6
1.54655,-1.20466,-0.928725,-1.7
1.59669,-1.19145,-0.927591,-1.8
1.63716,-1.18072,-0.929546,-1.9
1.66893,-1.17241,-0.934307,-2
1.69288,-1.16644,-0.941589,-2.1
1.70979,-1.16265,-0.951112,-2.2
1.72035,-1.16082,-0.962606,-2.3
1.72522,-1.1607,-0.975817,-2.4
1.72495,-1.16199,-0.990508,-2.5
1.7201,-1.16435,-1.00647,-2.6
1.71113,-1.16747,-1.02351,-2.7
1.69851,-1.17099,-1.04148,-2.8
1.68262,-1.17462,-1.06024,-2.9
1.66385,-1.17804,-1.07969,-3
1.64251,-1.181,-1.09975,-3.1
1.61891,-1.18323,-1.1329,3.08319
1.5892,-1.18404,-1.29517,2.98319
1.51241,-1.16759,-1.23729,2.88319
1.46982,-1.16274,-1.18815,2.78319
1.45183,-1.16404,-1.06497,2.68319
1.47768,-1.16967,-1.26753,2.58319
1.43217,-1.16035,-1.28544,2.48319
1.38994,-1.15019,-1.3104,2.38319
1.34807,-1.13794,-1.31014,2.28319
1.31465,-1.12819,-1.10024,2.18319
1.35646,-1.14098,-1.38739,2.08319
1.29651,-1.11543,-1.40073,1.98319
1.2443,-1.09201,-1.39857,1.88319
1.20322,-1.07376,-1.25686,1.78319
1.21608,-1.08513,-0.47486,1.68319
1.43209,-0.929208,-0.399856,1.58319
